user_id,action_date,action_name,error_message,device
1,2022-09-07,checkout_annual_completepayment.click.fail,"lastName field is required",desktop
2,2022-07-08,checkout_annual_completepayment.click.fail,"number field is required",desktop
5,2022-08-22,checkout_annual_completepayment.click.fail,"number field is required",desktop
39,2022-11-22,checkout_annual_completepayment.click.fail,"Your card was declined.",desktop
182,2022-07-11,checkout_monthly_completepayment.click.fail,"Your card has insufficient funds.",desktop
558,2022-11-23,checkout_annual_completepayment.click.fail,"number field is required",desktop
948,2022-11-27,checkout_annual_completepayment.click.fail,"year field is required",desktop
978,2022-11-28,checkout_annual_completepayment.click.fail,"Your card was declined.",mobile
1392,2022-10-21,checkout_annual_completepayment.click.fail,"Your card was declined.",mobile
1426,2022-11-24,checkout_annual_completepayment.click.fail,"year field is required",desktop
1436,2022-09-08,checkout_monthly_completepayment.click.fail,"Your card was declined.",mobile
1469,2022-12-20,checkout_annual_completepayment.click.fail,"Your card was declined.",desktop
1516,2023-01-27,checkout_annual_completepayment.click.fail,"year field is required",mobile
1641,2022-08-18,checkout_monthly_completepayment.click.fail,"Your card was declined.",desktop
1791,2022-07-26,checkout_annual_completepayment.click.fail,"lastName field is required",mobile
1864,2022-09-06,checkout_annual_completepayment.click.fail,"year field is required",mobile
2134,2023-01-24,checkout_annual_completepayment.click.fail,"Your card was declined.",desktop
2295,2022-12-09,checkout_annual_completepayment.click.fail,"number field is required",desktop
2555,2023-01-21,checkout_annual_completepayment.click.fail,"Your card has insufficient funds.",desktop
2834,2022-08-29,checkout_annual_completepayment.click.fail,"number field is required",mobile
2922,2022-11-27,checkout_annual_completepayment.click.fail,"year field is required",desktop
3152,2022-07-01,checkout_monthly_completepayment.click.fail,"year field is required",desktop
3333,2022-07-26,checkout_monthly_completepayment.click.fail,"Your card's security code is incorrect.",desktop
3426,2022-10-21,checkout_annual_completepayment.click.fail,"year field is required",desktop
3595,2022-11-28,checkout_annual_completepayment.click.fail,"Your card was declined.",desktop
3599,2022-11-27,checkout_annual_completepayment.click.fail,"number field is required",desktop
3643,2022-07-10,checkout_annual_completepayment.click.fail,"number field is required",desktop
3718,2022-11-21,checkout_monthly_completepayment.click.fail,"month field is required",desktop
3747,2022-09-12,checkout_annual_completepayment.click.fail,"year field is required",desktop
4034,2022-07-01,checkout_annual_completepayment.click.fail,"number field is required",desktop
4231,2022-12-02,checkout_annual_completepayment.click.fail,"year field is required",desktop
4303,2023-01-08,checkout_annual_completepayment.click.fail,"lastName field is required",desktop
4439,2022-09-22,checkout_monthly_completepayment.click.fail,"State field is required",desktop
4629,2022-12-02,checkout_annual_completepayment.click.fail,"year field is required",desktop
4723,2022-08-31,checkout_annual_completepayment.click.fail,"year field is required",desktop
5135,2022-11-22,checkout_annual_completepayment.click.fail,"year field is required",desktop
5554,2022-10-07,checkout_annual_completepayment.click.fail,"Your card does not support this type of purchase.",desktop
5782,2022-08-31,checkout_annual_completepayment.click.fail,"zip field is required",mobile
6239,2022-08-01,checkout_monthly_completepayment.click.fail,"year field is required",desktop
